id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
21,"Panel fotowoltaiczny oddaje moc 24W i ładuje akumulator prądem 2A. Zakładając stuprocentową sprawność układu ładowania, jakie jest napięcie na akumulatorze?",,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V,b,"<pre><code class=""language-python""># Dane <br />moc_panelu = 24  # w wat [W] <br />prąd_akumulatora = 2  # w amperach [A] <br /> <br /># Obliczenie napięcia na akumulatorze zakładając stuprocentową sprawność <br />napięcie_akumulatora = moc_panelu / prąd_akumulatora <br /> <br />napięcie_akumulatora </code></pre> <pre><code class=""language-python"">12.0 </code></pre> <p>Prawidłowa odpowiedź to:</p> <p>b. napięcie wynosi 12 V</p> <p>To dlatego, że obliczyłem napięcie korzystając z wzoru \( U = \frac{P}{I} \), gdzie \(P = 24W\) jest mocą oddaną przez panel fotowoltaiczny, a \(I = 2A\) jest prądem, którym ładowany jest akumulator. Wynik obliczeń wynosi 12V, co oznacza, że napięcie na akumulatorze wynosi 12V przy założeniu 100% sprawności układu ładowania.</p>",
22,Rezystor ma wartość 200 Ω. Płynie przez niego prąd 300 mA. Jaka moc wydziela się na rezystorze?,,18 W,1800 W,"1,8 W",a,"<p>Aby obliczyć moc wydzielającą się na rezystorze w obwodzie elektrycznym, możemy skorzystać z jednego z podstawowych wzorów dotyczących mocy \( P \), gdzie \( P = I^2 \cdot R \), gdzie:</p> <ul> <li>\( I \) to natężenie prądu przepływającego przez rezystor (w amperach),</li> <li>\( R \) to wartość rezystancji rezystora (w omach).</li> </ul> <p>W tym przypadku mamy przepływający prąd o natężeniu 300 mA (0.3 A) i rezystor o wartości 200 Ω.</p> <p>Obliczmy moc \( P \): \[ P = I^2 \cdot R = (0.3)^2 \cdot 200 \]</p> <pre><code class=""language-python""># Dane <br />I = 0.3  # Natężenie prądu w amperach <br />R = 200  # Rezystancja w omach <br /> <br /># Obliczenie mocy P = I^2 * R <br />P = I**2 * R <br />P </code></pre> <pre><code class=""language-python"">18.0 </code></pre> <p>Moc wydzielająca się na rezystorze wynosi 18 W, co oznacza, że poprawna odpowiedź to:</p> <p>a. 18 W</p>",
23,Które z poniższych stwierdzeń opisuje modulację amplitudy (A3E)?,,posiada obie wstęgi boczne,nie posiada wstęg bocznych,jest odporna na przemodulowanie,a,"<p>Stwierdzenie opisujące modulację amplitudy (A3E) to:</p> <p>a. posiada obie wstęgi boczne</p> <p>Modulacja amplitudy charakteryzuje się tym, że amplituda fali nośnej jest modulowana w zależności od amplitudy sygnału modulującego, co prowadzi do powstania dwóch wstęg bocznych. Oznacza to, że w spektrum sygnału AM można zidentyfikować zarówno górną, jak i dolną wstęgę boczną wokół częstotliwości fali nośnej. Opcje b i c są nieprawidłowe, ponieważ AM faktycznie posiada wstęgi boczne i jest wrażliwa na przemodulowanie, co może prowadzić do zakłóceń innych transmisji.</p>",
24,"Modulacja PSK polega na: ",,dyskretnej zmianie fazy sygnału,dyskretnej zmianie częstotliwości sygnału,nadawaniu obu wstęg bocznych na raz,,"<p>Modulacja PSK, znana również jako modulacja fazy, polega na: a. dyskretnej zmianie fazy sygnału.</p> <p>W modulacji PSK (ang. Phase-Shift Keying), kluczowe jest kodowanie informacji cyfrowych poprzez zmianę fazy fali nośnej. Nie dotyczy to zmiany częstotliwości sygnału ani nadawania obu wstęg bocznych na raz, co odróżnia PSK od innych rodzajów modulacji, takich jak modulacja częstotliwości (FM) czy modulacja amplitudy (AM).</p>",
25,Jakie są trzy metody uzyskiwania modulacji jednowstęgowej?,,"detekcja obwiedni, przez zmianę częstotliwości fali nośnej, metoda sumacyjna","metoda filtrowa, metoda fazowa, metoda Weavera","metoda Marconiego, metoda Popowa, metoda kohererowa",,"<p>Trzy metody uzyskiwania modulacji jednowstęgowej to: a. detekcja obwiedni, przez zmianę częstotliwości fali nośnej, metoda sumacyjna</p> <p>Wybrałem tę odpowiedź, ponieważ detekcja obwiedni, zmiana częstotliwości fali nośnej i metoda sumacyjna są faktycznie metodami stosowanymi do uzyskiwania modulacji jednowstęgowej. Pozostałe odpowiedzi nie odnoszą się do poprawnych metod modulacji jednowstęgowej.</p>",
26,Która z wymienionych modulacji ma najwęższe pasmo?,,SSB,FM,CW,c,"<p>Najwęższe pasmo modulacji ma modulacja CW (Continuous Wave), ponieważ jest to sygnał jedno-tonowy, który można uzyskać przez włączenie i wyłączenie fali nośnej. Jest to najbardziej efektywne wykorzystanie pasma, ponieważ nie ma nadmiarowych informacji modulacyjnych, co powoduje, że pasmo jest bardzo wąskie. Dlatego poprawna odpowiedź to:</p> <p>c. CW</p>",gpt-3.5-turbo-0125
27,"Jeśli dla sygnału AM amplituda sygnału modulującego równa jest amplitudzie fali nośnej, to mówimy, że:",,współczynnik głębokości modulacji wynosi 100%,sygnał jest przesterowany,jest to modulacja z wytłumioną falą nośną,,"<p>W przypadku modulacji amplitudowej (AM), głębokość modulacji określa, jak bardzo amplituda fali nośnej jest modulowana przez sygnał modulujący. Współczynnik głębokości modulacji może być określony z równania:</p> <p>\[ m = \frac{A_m}{A_c} \]</p> <p>gdzie:</p> <ul> <li>\(m\) to współczynnik głębokości modulacji,</li> <li>\(A_m\) to amplituda sygnału modulującego,</li> <li>\(A_c\) to amplituda fali nośnej.</li> </ul> <p>Jeśli amplituda sygnału modulującego równa się amplitudzie fali nośnej (\(A_m = A_c\)), to współczynnik głębokości modulacji \(m\) wynosi 1, co odpowiada 100%. Dlatego prawidłową odpowiedzią jest:</p> <p>a. współczynnik głębokości modulacji wynosi 100%</p> <p>To dlatego, że taka sytuacja reprezentuje maksymalną modulację, przy której amplituda fali nośnej może być zwiększana do podwójnej swojej wartości i zmniejszana do zera, nie generując przesterowania ani nie wymagając wytłumienia fali nośnej.</p>",
28,Szerokość kanału sygnału PSK31 wynosi:,,około 1 kHz,około 60 Hz,"około 31,25 Hz",c,"<p>Aby obliczyć szerokość kanału sygnału PSK31, musimy wiedzieć, że ten mode ma szerokość pasma około 31,25 Hz. Dlatego poprawną odpowiedzią jest:</p> <p>c. około 31,25 Hz</p>",
29,Jakie napięcie występuje na rezystorze o wartości 50 Ω przy dostarczeniu do niego mocy 200 W?,,100 V,10000 V,4 V,a,"<p>Aby obliczyć napięcie na rezystorze, można skorzystać z prawa Ohma oraz wzoru na moc:</p> <p>\[ P = \frac{V^2}{R} \]</p> <p>gdzie:</p> <ul> <li>\(P\) to moc (w watach),</li> <li>\(V\) to napięcie (w woltach),</li> <li>\(R\) to opór (w omach).</li> </ul> <p>W tym przypadku mamy podane:</p> <ul> <li>\(P = 200 W\),</li> <li>\(R = 50 \Omega\).</li> </ul> <p>Podstawiając te wartości, możemy obliczyć \(V\):</p> <p>\[ 200 = \frac{V^2}{50} \]</p> <p>\[ V^2 = 200 * 50 \]</p> <p>\[ V = \sqrt{200 * 50} \]</p> <p>Obliczmy to.</p> <pre><code class=""language-python"">import math<br /><br /># Dane<br />P = 200  # moc w watach<br />R = 50  # opór w omach<br /><br /># Obliczenie napięcia V<br />V = math.sqrt(P * R)<br />V </code></pre> <pre><code class=""language-python"">100.0 </code></pre> <p>Napięcie występujące na rezystorze o wartości 50 Ω przy dostarczeniu do niego mocy 200 W wynosi 100 V. Odpowiedzią jest zatem:</p> <p>a. 100 V</p>",
30,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Rezystancja wewnętrzna ogniwa wynosi 0,1 Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V",1 V,"1,4 V",c,"<p>Obliczymy napięcie na zaciskach ogniwa, korzystając z prawa Ohma dla całego obwodu, uwzględniając rezystancję wewnętrzną ogniwa.</p> <p>Napięcie (\(V\)) na zaciskach ogniwa można obliczyć korzystając z wzoru: \[V = E - I \cdot r\] gdzie:</p> <ul> <li>\(E\) to siła elektromotoryczna ogniwa</li> <li>\(I\) to prąd pobierany z ogniwa</li> <li>\(r\) to rezystancja wewnętrzna ogniwa</li> </ul> <p>Podstawiamy dane z zadania:</p> <ul> <li>\(E = 1,5 \, \text{V}\)</li> <li>\(I = 1 \, \text{A}\)</li> <li>\(r = 0,1 \, \Omega\)</li> </ul> <pre><code class=""language-python"">E = 1.5  # Siła elektromotoryczna ogniwa w woltach<br />I = 1  # Prąd pobierany z ogniwa w amperach<br />r = 0.1  # Rezystancja wewnętrzna ogniwa w omach<br /><br /># Obliczenie napięcia na zaciskach ogniwa<br />V = E - I * r<br />V </code></pre> <pre><code class=""language-python"">1.4 </code></pre> <p>Napięcie na zaciskach ogniwa wynosi 1,4 V. Odpowiedź to c. 1,4 V.</p>",
31,Liczba 31 w nazwie modulacji BPSK31 oznacza:,,liczbę znaków jakie można przesłać podczas jednej transmisji,szybkość przesyłania informacji - 31 Bd,głębokość modulacji - 31%,b,"<p>Odpowiedź na to pytanie to: b. szybkość przesyłania informacji - 31 Bd</p> <p>Modulacja BPSK31 wykorzystywana jest w radioamatorskich transmisjach cyfrowych, gdzie &quot;BPSK&quot; oznacza Binary Phase-Shift Keying, czyli binarną modulację przesunięcia fazy. Cyfra &quot;31&quot; odnosi się do szybkości przesyłania informacji, wyrażonej w bodach (Bd), a więc BPSK31 oferuje szybkość przesyłania równą 31 bodów. Baud jest jednostką symboli na sekundę, a w przypadku BPSK, każdy symbol reprezentuje jeden bit, więc szybkość transmisji to 31 bitów na sekundę.</p>",
32,W jaki sposób w emisjach cyfrowych można zapewnić korekcję błędów spowodowanych zakłóceniami i zanikami w łączności radiowej:,,przez wprowadzenie sumy kontrolnej CRC i ponowne wysyłanie tej samej informacji,robi to operator wprowadzając odpowiednią komendę do modemu,"nie wprowadza się korekcji, zaniki są naturalną cechą łączności cyfrowej",a,"<p>Aby zapewnić korekcję błędów spowodowanych zakłóceniami i zanikami w łączności radiowej w emisjach cyfrowych, odpowiedzią jest:</p> <p>a. przez wprowadzenie sumy kontrolnej CRC i ponowne wysyłanie tej samej informacji</p> <p>Wybór tej odpowiedzi jest uzasadniony, ponieważ metoda wykorzystująca sumy kontrolne CRC (Cyclic Redundancy Check) pozwala na wykrycie i korekcję błędów transmisji poprzez obliczenie sumy kontrolnej danych i porównanie jej z otrzymaną sumą na drugim końcu łącza. Jeśli sumy nie zgadzają się, oznacza to wystąpienie błędów, co pozwala na ich lokalizację i ewentualną korekcję poprzez ponowne przesłanie danych. Takie podejście pozwala na zwiększenie niezawodności i efektywności transmisji w warunkach występowania zakłóceń i zaników w radiowej łączności cyfrowej.</p>",
33,"Moc PEP jest: ",,mocą średnią,mocą w szczytach modulacji,"mocą maksymalną tranzystora, po przekroczeniu której ulega uszkodzeniu",,"<p>Odpowiedź na pytanie to: b. mocą w szczytach modulacji.</p> <p>W dokumencie określone zostało, że dopuszczalna moc wyjściowa nadajnika pracującego z modulacją SSB to do 12 W szczytowej mocy obwiedni (PEP)【7:1†source】. Oznacza to, że moc PEP odnosi się do maksymalnej mocy, jaką można uzyskać w szczytach modulacji, a nie mocą średnią ani mocą maksymalną tranzystora po przekroczeniu której ulega uszkodzeniu.</p>",
34,"Sygnał silniejszy o 3 dB to: ",,sygnał o trzykrotnie większej mocy,sygnał o dziesięciokrotnie większej mocy,sygnał o dwukrotnie większej mocy,,"<p>Odpowiedź na to pytanie to: c. sygnał o dwukrotnie większej mocy.</p> <p>Wyjaśnienie: Skala decybelowa (dB) jest logarytmiczną skalą używaną do opisywania stosunku dwóch wartości. Zwiększenie poziomu sygnału o 3 dB oznacza podwojenie mocy sygnału. To dlatego, że decybele wyrażają stosunek mocy za pomocą logarytmu o podstawie 10, a wzór na zmianę mocy w decybelach to 10 * log10(P2/P1), gdzie P1 jest mocą początkową, a P2 mocą końcową. Zatem, dla podwojenia mocy (P2 = 2*P1), otrzymujemy 10 * log10(2) = około 3 dB.</p> <p>Nie jest to ani sygnał o trzykrotnie większej mocy (odpowiedź a), ani o dziesięciokrotnie większej mocy (odpowiedź b).</p>",
35,"Na skali S-metru jedna jednostka odpowiada wzrostowi odbieranego sygnału o 6 dB. Aby sygnał odbierany przez naszego korespondenta wzrósł z S7 do S9, moc nadajnika należy zwiększyć:",,ośmiokrotnie,czterokrotnie,szesnastokrotnie,,"<p>Skala S-metru jest używana w radiokomunikacji do określenia siły odbieranego sygnału. Każda jednostka na skali S-metru (1 S) odpowiada wzrostowi sygnału o 6 decybeli (dB). Aby określić, ile razy trzeba zwiększyć moc nadajnika, aby sygnał odbierany przez naszego korespondenta wzrósł z S7 do S9, musimy najpierw obliczyć, o ile decybeli wzrasta sygnał przy zmianie z S7 na S9.</p> <p>Przejście z S7 na S9 oznacza wzrost o 2 jednostki na skali S. Ponieważ każda jednostka odpowiada wzrostowi o 6 dB, całkowity wzrost wynosi:</p> <p>2 jednostki × 6 dB/jednostkę = 12 dB</p> <p>Aby znaleźć, ile razy trzeba zwiększyć moc nadajnika, aby osiągnąć wzrost sygnału o 12 dB, używamy zależności decybeli dla mocy, gdzie wzrost o 3 dB oznacza dwukrotne zwiększenie mocy. Znając to, możemy obliczyć, ile razy moc powinna zostać zwiększona.</p> <p>Zwiększenie mocy \(P\) o:</p> <ul> <li>3 dB oznacza 2-krotnie większą moc,</li> <li>6 dB oznacza 4-krotnie większą moc (2 × 2),</li> <li>9 dB oznacza 8-krotnie większą moc (2 × 2 × 2),</li> <li>12 dB oznacza 16-krotnie większą moc (2 × 2 × 2 × 2).</li> </ul> <p>Zatem odpowiedź brzmi: c. szesnastokrotnie</p>",
36,"System antenowy dostarcza sygnał na poziomie -20dBm, jest on podłączony do przedwzmacniacza o wzmocnieniu 10dB kablem o tłumieniu 3dB. Jakiej mocy sygnał uzyskamy na wyjściu przedwzmacniacza?",,-13 dBm,-33 dBm,-27 dBm,a,"<p>Aby przeprowadzić obliczenia, należy uwzględnić następujące kroki:</p> <ol> <li>Sygnał z systemu antenowego: -20 dBm</li> <li>Tłumienie kabla: -3 dB (tłumienie zmniejsza poziom sygnału, więc jest traktowane jako wartość ujemna)</li> <li>Wzmocnienie przedwzmacniacza: +10 dB (wzmocnienie zwiększa poziom sygnału, więc jest traktowane jako wartość dodatnia)</li> </ol> <p>Aby obliczyć moc sygnału na wyjściu przedwzmacniacza, musimy dodać wpływ tłumienia kabla i wzmocnienia przedwzmacniacza do początkowego poziomu sygnału:</p> <p>\[ Moc_{wyjsciowa} = Moc_{wejsciowa} + Wzmocnienie_{przedwzmacniacza} - Tlumienie_{kabla} \]</p> <p>Przeprowadźmy te obliczenia.</p> <pre><code class=""language-python"">moc_wejsciowa = -20  # dBm<br />wzmocnienie_przedwzmacniacza = 10  # dB<br />tlumienie_kabla = -3  # dB (tłumienie, więc ujemna wartość)<br /><br />moc_wyjsciowa = moc_wejsciowa + wzmocnienie_przedwzmacniacza + tlumienie_kabla  # Obliczenie mocy na wyjściu przedwzmacniacza<br />moc_wyjsciowa </code></pre> <pre><code class=""language-python"">-13 </code></pre> <p>Moc sygnału uzyskanego na wyjściu przedwzmacniacza wynosi -13 dBm.</p> <p>Odpowiedź to: a. -13 dBm.</p> <p>Wybrałem tą odpowiedź, ponieważ po uwzględnieniu tłumienia kabla i wzmocnienia przedwzmacniacza do początkowego poziomu sygnału -20 dBm, obliczenia dały wynik -13 dBm.</p>",
37,"Na wejście analizatora widma można bezpiecznie podać sygnał o mocy 20 dBm. Jakiego tłumika należy użyć, by nie uszkodzić przyrządu badając sygnał wyjściowy nadajnika o mocy 100 W:",,co najmniej 10 dB,co najmniej 30 dB,co najmniej 20 dB,,"<p>Aby odpowiedzieć na to pytanie, kluczowe jest przeliczenie mocy nadajnika z watów na dBm, a następnie obliczenie różnicy mocy między nadajnikiem a bezpiecznym poziomem mocy dla analizatora widma. Moc 20 dBm jest używana jako wartość bezpiecznego poziomu mocy dla analizatora.</p> <p>Przeliczanie mocy z watów na dBm odbywa się według wzoru:</p> <p>\[P_{dBm} = 10 \cdot \log_{10} (P_W \cdot 1000)\]</p> <p>gdzie:</p> <ul> <li>\(P_{dBm}\) jest mocą w dBm,</li> <li>\(P_W\) jest mocą w watów.</li> </ul> <p>Następnie, różnica mocy między sygnałem wejściowym a maksymalnym bezpiecznym poziomem mocy analizatora pokaże, jakiego tłumika potrzebujemy.</p> <ol> <li>Najpierw przeliczymy moc nadajnika (100 W) na dBm.</li> <li>Po obliczeniu, odejmiemy od wyniku 20 dBm, by znaleźć różnicę.</li> <li>W ten sposób dowiemy się, jakie tłumienie jest potrzebne, czyli jaka odpowiedź jest prawidłowa.</li> </ol> <pre><code class=""language-python"">import math<br /><br /># Moc nadajnika w watów<br />P_W = 100<br /><br /># Przeliczenie mocy na dBm<br />P_dBm = 10 * math.log10(P_W * 1000)<br /><br /># Obliczenie potrzebnego tłumienia<br />needed_attenuation = P_dBm - 20<br /><br />P_dBm, needed_attenuation </code></pre> <pre><code class=""language-python"">(50.0, 30.0) </code></pre> <p>Moc nadajnika 100 W po przeliczeniu na dBm wynosi 50 dBm. Aby nie uszkodzić przyrządu, którego bezpieczny poziom mocy to 20 dBm, potrzebne jest tłumienie 30 dB. Oznacza to, że odpowiedź to:</p> <p>b. co najmniej 30 dB</p> <p>Jest to potrzebne tłumienie, aby różnica mocy pomiędzy sygnałem wyjściowym nadajnika a bezpiecznym poziomem dla analizatora widma wynosiła dokładnie 30 dB.</p>",
38,Jak przebiegają linie pola magnetycznego wytworzonego przez przewodnik z prądem?,,są równolegle do osi przewodu,przewodnik z prądem wytwarza tylko pole elektryczne,są równoległe do poweirzchni przewodnika i prostopadłe do jego osi,c,"<p>Poprawną odpowiedzią jest opcja c. są równoległe do powierzchni przewodnika i prostopadłe do jego osi.</p> <p>Wyjaśnienie: Prądy elektryczne oddziałują z otoczeniem nie tylko poprzez pole elektryczne, ale też przez pole magnetyczne, które tworzą wokół siebie. Linie pola magnetycznego wytworzonego przez długi, prostoliniowy przewodnik z prądem mają kształt koncentrycznych okręgów i są umieszczone w płaszczyznach prostopadłych do osi przewodnika oraz wokół niego. Oznacza to, że linie te są równoległe do powierzchni przewodnika (czyli okręgowej jeśli przewodnik jest cylindryczny) i prostopadłe do jego osi.</p>",
39,Niedopasowanie anteny do linii transmisyjnej powoduje powstanie fali stojącej i w konsekwencji:,,odbicia sygnału od miejsca niedopasowania i straty w linii transmisyjnej,może spowodować spalenie anteny,drgania fidera,,"<p>Odpowiedź: a. odbicia sygnału od miejsca niedopasowania i straty w linii transmisyjnej.</p> <p>Niedopasowanie impedancji między anteną a linią transmisyjną powoduje powstawanie fal stojących, co z kolei prowadzi do odbicia części mocy nadawanej z powrotem do nadajnika. Te odbite fale generują straty mocy w linii transmisyjnej, mogą powodować przegrzewanie się elementów układu, oraz obniżają skuteczność promieniowania przez antenę. Możliwość spalenia anteny (opcja b) jest mniej prawdopodobna bezpośrednio z powodu fal stojących, ale więcej związana z potencjalnie zbyt wysoką mocą odbitą do nadajnika. Opcja c, drgania fidera, nie jest zjawiskiem związanym z niedopasowaniem impedancji, a bardziej z fizycznymi właściwościami kabla transmisyjnego.</p>",
40,Nadajnik o mocy wyjściowej 100 W pobiera z zasilacza 280 W. Jego sprawność wynosi około:,,36%,64%,280%,a,"<p>Sprawność nadajnika można obliczyć za pomocą następującej formuły:</p> <p>\[ \text{Sprawność} = \left( \frac{\text{Moc wyjściowa}}{\text{Moc pobierana}} \right) \times 100% \]</p> <p>W podanym przypadku, moc wyjściowa nadajnika wynosi 100 W, a moc pobierana z zasilacza wynosi 280 W. Podstawiając te wartości do wzoru, otrzymujemy:</p> <p>\[ \text{Sprawność} = \left( \frac{100\,W}{280\,W} \right) \times 100% \]</p> <p>Obliczmy to.</p> <pre><code class=""language-python""># Dane z zadania<br />moc_wyjsciowa = 100  # w wattach<br />moc_pobierana = 280  # w wattach<br /><br /># Obliczanie sprawności nadajnika<br />sprawnosc = (moc_wyjsciowa / moc_pobierana) * 100<br /><br />sprawnosc </code></pre> <pre><code class=""language-python"">35.714285714285715 </code></pre> <p>Sprawność nadajnika wynosi około 36%. Odpowiedź to:</p> <p>a. 36%</p>",
41,"Jaką moc PEP dostarcza nadajnik, jeśli napięcie międzyszczytowe (peak to peak) zmierzone oscyloskopem na sztucznym obciążeniu 50 Ω wynosi 200 V?",,200 W,100 W,50 W,b,"<p>Aby rozwiązać to zadanie, należy obliczyć moc PEP (Peak Envelope Power) dla nadajnika.</p> <p>Wzór na moc wyjściową (w watach) w obciążeniu o charakterystyce rezystancyjnej jest następujący:</p> <p>\[ P = \frac{V^2}{R} \]</p> <p>Gdzie \(P\) to moc wyjściowa, \(V\) to napięcie skuteczne (RMS) podawane na obciążenie, a \(R\) to oporność obciążenia. W zadaniu mamy nadane napięcie międzyszczytowe (peak-to-peak), a więc należy najpierw przeliczyć je na napięcie skuteczne (RMS).</p> <p>Napięcie skuteczne dla sygnału sinusoidalnego można obliczyć dzieląc napięcie międzyszczytowe przez \(2\sqrt{2}\) (ponieważ napięcie międzyszczytowe jest dwa razy większe od napięcia od szczytu do zera, a napięcie skuteczne jest równe napięciu od szczytu do zera podzielone przez \(\sqrt{2}\)).</p> <p>Tak więc, mając napięcie międzyszczytowe 200V na obciążeniu 50Ω, wykonam obliczenia.</p> <pre><code class=""language-python"">import math<br /><br /># Dane z zadania<br />V_pp = 200 # napięcie międzyszczytowe w V<br />R = 50 # oporność obciążenia w Ohm<br /><br /># Obliczanie napięcia skutecznego (RMS)<br />V_rms = (V_pp / 2) / math.sqrt(2)<br /><br /># Obliczanie mocy PEP<br />P_pep = V_rms**2 / R<br /><br />P_pep </code></pre> <pre><code class=""language-python"">99.99999999999996 </code></pre> <p>Moc PEP dostarczana przez nadajnik, przy napięciu międzyszczytowym (peak to peak) zmierzonym oscyloskopem na sztucznym obciążeniu 50 Ω wynoszącym 200 V, wynosi około 100 W.</p> <p>Odpowiedź: b. 100 W</p>",
42,"Jaka powinna być częstotliwość próbkowania sygnału o maksymalnej częstotliwości składowej 50 kHz, aby poprawnie można było ten sygnał odtworzyć?",,minimum 50 kHz,minimum 100 kHz,minimum 500 kHz,b,"<p>Odpowiedź na to pytanie można znaleźć w twierdzeniu Nyquista-Shannona, które mówi, że aby poprawnie zrekonstruować sygnał analogowy z jego próbek, częstotliwość próbkowania musi być co najmniej dwukrotnie większa niż najwyższa częstotliwość składowa tego sygnału. W przypadku sygnału o najwyższej częstotliwości składowej 50 kHz, częstotliwość próbkowania musi być co najmniej:</p> <p>\[2 \times 50 kHz = 100 kHz\]</p> <p>Odpowiedź: <strong>b. minimum 100 kHz</strong></p> <p>To wyjaśnienie oparte jest na fundamentalnej zasadzie teorii próbkowania i nie wymaga dodatkowych zasobów ani dokumentów do weryfikacji.</p>",
43,"Rozdzielczość bitowa przetwornika ADC wpływa na: ",,zakres dynamiki,szybkość próbkowania,pasmo przenoszenia,,"<p>Rozdzielczość bitowa przetwornika ADC wpływa na zakres dynamiki. Odpowiedź to więc:</p> <p>a. zakres dynamiki</p> <p>Dlaczego: Rozdzielczość bitowa przetwornika ADC (analogowo-cyfrowego) określa, na ile poziomów może zostać podzielony maksymalny zakres napięć wejściowych. Im więcej bitów ma przetwornik, tym więcej możliwych poziomów może reprezentować, co pozwala na dokładniejsze odwzorowanie sygnału wejściowego. To bezpośrednio wpływa na zakres dynamiki, który jest zdolny odwzorować, ponieważ zakres dynamiki definiuje stosunek między najgłośniejszym a najcichszym sygnałem, który system może efektywnie przetworzyć bez zniekształceń. Szybkość próbkowania dotyczy częstotliwości, z jaką próbki są pobierane z sygnału analogowego, a pasmo przenoszenia odnosi się do zakresu częstotliwości, które system jest w stanie efektywnie przetworzyć. Te dwa aspekty są niezależne od rozdzielczości bitowej przetwornika.</p>",
44,Transformator sieciowy na napięcie 230V dostarcza po stronie wtórnej napięcia 23V przy maksymalnym prądzie 10A. Jakiego prądu można się spodziewać po stronie pierwotnej transformatora?,,2 A,1 A,10 A,b,"<p>Aby obliczyć prąd po stronie pierwotnej transformatora, należy skorzystać z zasady zachowania mocy w idealnym transformatorze, która mówi, że moc wejściowa (po stronie pierwotnej) jest równa mocy wyjściowej (po stronie wtórnej). Moc \(P\) możemy obliczyć korzystając z wzoru: \[ P = U \times I \] gdzie:</p> <ul> <li>\(P\) to moc,</li> <li>\(U\) to napięcie,</li> <li>\(I\) to prąd.</li> </ul> <p>Dla strony wtórnej transformatora mamy: \[ U_{wtórne} = 23V \] \[ I_{wtórne} = 10A \]</p> <p>Zatem moc wyjściowa wynosi: \[ P_{wyjściowa} = U_{wtórne} \times I_{wtórne} = 23V \times 10A \]</p> <p>Znając moc wyjściową, możemy skorzystać z tej samej formuły, aby obliczyć prąd po stronie pierwotnej, mając dane napięcie sieciowe 230V: \[ P_{wejściowa} = P_{wyjściowa} = U_{pierwotne} \times I_{pierwotne} \] \[ I_{pierwotne} = \frac{P_{wyjściowa}}{U_{pierwotne}} \]</p> <p>Podstawmy dane i obliczmy \(I_{pierwotne}\).</p> <pre><code class=""language-python""># Przypisanie znanych wartości do zmiennych<br />U_wtorne = 23  # napięcie wtórne w V<br />I_wtorne = 10  # prąd wtórny w A<br />U_pierwotne = 230  # napięcie pierwotne w V<br /><br /># Obliczenie mocy wyjściowej<br />P_wyjsciowa = U_wtorne * I_wtorne<br /><br /># Obliczenie prądu pierwotnego<br />I_pierwotne = P_wyjsciowa / U_pierwotne<br /><br />I_pierwotne </code></pre> <pre><code class=""language-python"">1.0 </code></pre> <p>Prąd, którego można się spodziewać po stronie pierwotnej transformatora, wynosi 1 A. Odpowiedź to więc: b. 1 A</p> <p>Moje obliczenia oparte są na równaniu mocy dla idealnego transformatora, z którego wynika, że moc po stronie wtórnej (23V * 10A) musi być równa mocy po stronie pierwotnej. Prąd po stronie pierwotnej wynosi zatem 1 A przy uwzględnieniu napięcia sieciowego 230V.</p>",
